PHÂN HỆ,STT,DANH MỤC LỚN,HẠNG MỤC CHI PHÍ CHI TIẾT,ĐƠN VỊ TÍNH,SỐ LƯỢNG,ĐƠN GIÁ (VNĐ),THÀNH TIỀN (VNĐ),THÀNH TIỀN NĂM 2027 (VNĐ / NẾU CÓ),CĂN CỨ PHÁP LÝ & DỮ LIỆU THỰC TẾ 08/2026
CAPEX,1.1,1. Phát triển sản phẩm/công nghệ,Chi phí lập trình xây dựng nền tảng (web + app di động cho tài xế),Gói MVP,1,45000000,45000000,,"Xây dựng Web Điều phối + App di động Flutter cho tài xế (3-4 tháng MVP, 2 dev core)"
CAPEX,1.2,1. Phát triển sản phẩm/công nghệ,Chi phí thiết kế UI/UX,Gói thiết kế,1,10000000,10000000,,"Hệ thống Figma: Web Portal Điều phối, App Tài xế, Dashboard Báo cáo CO2"
CAPEX,1.3,1. Phát triển sản phẩm/công nghệ,Chi phí xây dựng thuật toán tối ưu tuyến (VRP) ban đầu,Module Core,1,20000000,20000000,,"Giải thuật VRPTW đa điểm kết hợp ràng buộc tải trọng xe, khung giờ giao & tình trạng giao thông"
CAPEX,1.4,1. Phát triển sản phẩm/công nghệ,Chi phí tích hợp API bản đồ/GPS/giao thông lần đầu (setup fee nếu có),Lần tích hợp,1,4000000,4000000,,"Setup fee, SDK integration, Webhook kết nối dữ liệu GPS và API bản đồ Goong/Mapbox"
CAPEX,1.5,1. Phát triển sản phẩm/công nghệ,"Chi phí xây dựng dashboard phân tích, báo cáo CO₂",Module Dashboard,1,12000000,12000000,,Dashboard phân tích phát thải chuẩn GLEC Framework v3.0 / ISO 14083:2023 / GHG Protocol
CAPEX,1.6,1. Phát triển sản phẩm/công nghệ,Chi phí kiểm thử (QA/testing) trước khi ra mắt,Gói QA/QC,1,6000000,6000000,,Manual QA test kịch bản bưu cục + Automated Load Testing 500 CCU tài xế
CAPEX,T1,1. Phát triển sản phẩm/công nghệ,TỔNG NHÓM 1: PHÁT TRIỂN SẢN PHẨM / CÔNG NGHỆ,,,,97000000,,
CAPEX,2.1,2. Hạ tầng kỹ thuật,Mua/thiết lập server (nếu không dùng cloud pay-as-you-go),Gói setup,1,3500000,3500000,,"Khởi tạo cụm Docker/K8s, VPC mạng riêng an toàn, CI/CD GitHub Actions deploy"
CAPEX,2.2,2. Hạ tầng kỹ thuật,Thiết lập cơ sở dữ liệu ban đầu,Gói CSDL,1,2500000,2500000,,PostgreSQL + PostGIS (GIS spatial routing engine) + Redis Caching
CAPEX,2.3,2. Hạ tầng kỹ thuật,"Thiết lập hệ thống bảo mật, mã hóa dữ liệu",Gói bảo mật,1,4000000,4000000,,"Tuân thủ NĐ 13/2023/NĐ-CP bảo vệ dữ liệu cá nhân, SSL EV Wildcard, Cloudflare WAF"
CAPEX,T2,2. Hạ tầng kỹ thuật,TỔNG NHÓM 2: HẠ TẦNG KỸ THUẬT,,,,10000000,,
CAPEX,3.1,3. Pháp lý & hành chính,Chi phí mở tài khoản ngân hàng doanh nghiệp,Tài khoản,1,0,0,,Miễn phí mở tài khoản thanh toán DN tại Vietcombank/MB Bank/Techcombank
CAPEX,3.2,3. Pháp lý & hành chính,Chi phí khởi tạo và cài đặt phần mềm hóa đơn điện tử,Lần,1,1000000,1000000,,Phí khởi tạo phần mềm hóa đơn điện tử MISA meInvoice (chuẩn niêm yết 2026)
CAPEX,3.3,3. Pháp lý & hành chính,Phí cung cấp thông tin doanh nghiệp (ĐK thành lập trọn gói),Lần,1,2000000,2000000,,Dịch vụ ĐKKD thành lập DN trọn gói + Lệ phí nhà nước + Bố cáo điện tử Cổng thông tin QG
CAPEX,3.4,3. Pháp lý & hành chính,Chi phí mua chữ ký số khai thuế (Gói 3 năm),Gói (3 năm),1,1990000,1990000,,Chữ ký số Vina-CA / Viettel-CA (Gói 36 tháng bao gồm USB Token chuẩn giá đại lý 2026)
CAPEX,3.5,3. Pháp lý & hành chính,Chi phí khắc con dấu và đăng cáo mẫu dấu,Bộ,1,450000,450000,,Khắc dấu tròn pháp nhân doanh nghiệp + dấu chức danh Giám đốc
CAPEX,3.6,3. Pháp lý & hành chính,Chi phí làm biển hiệu,Cái,1,800000,800000,,Biển hiệu mica công ty kích thước chuẩn quy định treo tại trụ sở
CAPEX,3.7,3. Pháp lý & hành chính,"Phí sử dụng hóa đơn điện tử (1,000 số)","Gói (1,000 số)",1,1050000,1050000,,"1,000 số hóa đơn điện tử MISA meInvoice (giá niêm yết 1.050.000 VNĐ)"
CAPEX,3.8,3. Pháp lý & hành chính,Chi phí soạn thảo hợp đồng với đối tác dữ liệu bản đồ/GPS,Lần,1,4000000,4000000,,"Tư vấn pháp lý soạn thảo hợp đồng API, cam kết SLA, phân định trách nhiệm bản quyền"
CAPEX,3.9,3. Pháp lý & hành chính,"Phí dịch vụ đăng ký logo độc quyền, bản quyền thương hiệu, nhãn hiệu",Lần,1,1000000,1000000,,Phí dịch vụ đại diện Sở hữu trí tuệ hoàn thiện hồ sơ đăng ký nhãn hiệu
CAPEX,3.10,3. Pháp lý & hành chính,Lệ phí nộp nhà nước đăng ký độc quyền thương hiệu (1 nhóm),Hồ sơ,1,1120000,1120000,,Lệ phí nhà nước theo TT 263/2016/TT-BTC & TT 63/2023/TT-BTC tại Cục SHTT (1 nhóm 6 SP/DV)
