STT,DANH MỤC LỚN,HẠNG MỤC CHI PHÍ CHI TIẾT,ĐƠN VỊ TÍNH,SỐ LƯỢNG,ĐƠN GIÁ THÁNG (VNĐ),THÀNH TIỀN THÁNG (VNĐ),THÀNH TIỀN NĂM 2027 (VNĐ),GHI CHÚ & CĂN CỨ TÍNH TOÁN
1.1,1. Chi phí công nghệ vận hành,Phí API bản đồ (Google Maps/Mapbox/HERE...) theo lượt gọi,Tháng,1,5000000,5000000,60000000,"Dựa trên DAU TB 57-171 (User_acquisition_plan), ~100k-150k routing/matrix calls/tháng"
1.2,1. Chi phí công nghệ vận hành,Phí dữ liệu giao thông thời gian thực,Tháng,1,2500000,2500000,30000000,API dữ liệu giao thông thời gian thực (Traffic layer & congestion indexing)
1.3,1. Chi phí công nghệ vận hành,"Phí hosting/cloud server (AWS, GCP, Azure...)",Tháng,1,3500000,3500000,42000000,2 Cụm máy chủ ứng dụng (Web Dispatch + Driver API Backend + Load Balancer)
1.4,1. Chi phí công nghệ vận hành,Phí lưu trữ dữ liệu (storage),Tháng,1,1200000,1200000,14400000,Managed PostgreSQL/PostGIS Database + S3 Object Storage lưu trữ lịch sử chuyến
1.5,1. Chi phí công nghệ vận hành,"Phí duy trì bảo mật, SSL, backup định kỳ",Tháng,1,800000,800000,9600000,"Chứng chỉ SSL định kỳ, sao lưu CSDL tự động hàng ngày, Cloudflare Security Pro"
1.6,1. Chi phí công nghệ vận hành,"Phí bảo trì, sửa lỗi hệ thống",Tháng,1,1000000,1000000,12000000,"Giám sát lỗi tự động (Sentry), APM performance monitoring, bảo trì định kỳ"
T1,1. Chi phí công nghệ vận hành,TỔNG NHÓM 1: CÔNG NGHỆ VẬN HÀNH,,,,14000000,168000000,
2.1,2. Nhân sự,"Lương đội kỹ thuật (dev, duy trì hệ thống)",Tháng (2 người),2,12500000,25000000,300000000,"2 Lập trình viên Fullstack/Mobile kiêm vận hành hệ thống (25,000,000 VND/tháng)"
2.2,2. Nhân sự,Lương đội kinh doanh/sales,Tháng (1 người),1,10000000,10000000,120000000,1 Nhân viên Sales B2B tiếp cận các đơn vị vận chuyển và bưu cục logistics
2.3,2. Nhân sự,Lương đội chăm sóc khách hàng/hỗ trợ vận hành,Tháng (1 người),1,8000000,8000000,96000000,"1 Nhân viên Onboarding, hướng dẫn và hỗ trợ kỹ thuật trực tiếp cho bưu cục và tài xế"
2.4,2. Nhân sự,Lương/thù lao quản lý dự án,Tháng (1 người),1,12000000,12000000,144000000,Thù lao Quản lý dự án (Project Manager / Product Owner) điều phối chung
