STT,DANH MỤC LỚN,HẠNG MỤC CHI PHÍ CHI TIẾT,ĐƠN VỊ TÍNH,SỐ LƯỢNG,ĐƠN GIÁ THÁNG (VNĐ),THÀNH TIỀN THÁNG (VNĐ),THÀNH TIỀN NĂM 2027 (VNĐ),CĂN CỨ ĐỊNH MỨC & DỮ LIỆU THỰC TẾ 08/2026
1.1,1. Chi phí công nghệ vận hành,Phí API bản đồ (Google Maps/Mapbox/HERE...) theo lượt gọi,Tháng,1,5000000,5000000,60000000,"Goong Maps Gói Pro (200,000 requests/tháng) đáp ứng 100-200 DAU theo User_acquisition_plan"
1.2,1. Chi phí công nghệ vận hành,Phí dữ liệu giao thông thời gian thực,Tháng,1,2500000,2500000,30000000,API dữ liệu giao thông thời gian thực (Traffic layer & congestion matrix)
1.3,1. Chi phí công nghệ vận hành,"Phí hosting/cloud server (AWS, GCP, Azure...)",Tháng,1,3500000,3500000,42000000,"2 VM Compute Nodes (4 vCPU, 16GB RAM) + Application Load Balancer"
1.4,1. Chi phí công nghệ vận hành,Phí lưu trữ dữ liệu (storage),Tháng,1,1200000,1200000,14400000,Managed PostgreSQL/PostGIS Database + S3 Storage lưu vết GPS và dữ liệu đơn hàng
1.5,1. Chi phí công nghệ vận hành,"Phí duy trì bảo mật, SSL, backup định kỳ",Tháng,1,800000,800000,9600000,Gói Cloudflare Pro Security + Sao lưu dữ liệu tự động định kỳ hàng ngày
1.6,1. Chi phí công nghệ vận hành,"Phí bảo trì, sửa lỗi hệ thống",Tháng,1,1000000,1000000,12000000,Sentry APM Error Tracking + NewRelic/Datadog monitoring
T1,1. Chi phí công nghệ vận hành,TỔNG NHÓM 1: CÔNG NGHỆ VẬN HÀNH,,,,14000000,168000000,
2.1,2. Nhân sự,"Lương đội kỹ thuật (dev, duy trì hệ thống)",Tháng (2 người),2,12500000,25000000,300000000,2 Lập trình viên Fullstack/Mobile kiêm vận hành hệ thống (mức startup giai đoạn đầu)
2.2,2. Nhân sự,Lương đội kinh doanh/sales,Tháng (1 người),1,10000000,10000000,120000000,"1 Chuyên viên Sales B2B tiếp cận các ĐVVC (GHN, Viettel Post...) và bưu cục"
2.3,2. Nhân sự,Lương đội chăm sóc khách hàng/hỗ trợ vận hành,Tháng (1 người),1,8000000,8000000,96000000,1 Chuyên viên Onboarding & Hỗ trợ kỹ thuật trực tiếp cho bưu cục và tài xế
2.4,2. Nhân sự,Lương/thù lao quản lý dự án,Tháng (1 người),1,12000000,12000000,144000000,Thù lao Quản lý dự án (Project Manager / Product Owner) điều phối toàn diện
2.5,2. Nhân sự,"Chi phí thuê chuyên gia tư vấn dài hạn (logistics, đo lường CO₂, VRP) nếu có",Tháng,1,4000000,4000000,48000000,Thù lao cố vấn chuyên môn giải thuật VRP và phương pháp kiểm kê phát thải CO2
2.6,2. Nhân sự,"Bảo hiểm xã hội, phúc lợi nhân viên (nếu tuyển chính thức)",Tháng,1,6450000,6450000,77400000,"Đóng BHXH, BHYT, BHTN theo Luật BHXH 2024 (Doanh nghiệp đóng 21.5% quỹ lương cơ bản)"
T2,2. Nhân sự,TỔNG NHÓM 2: NHÂN SỰ,,,,65450000,785400000,
3.1,3. Vận hành pilot/khách hàng,Chi phí hỗ trợ kỹ thuật onsite/online cho DN thử nghiệm,Tháng,1,2500000,2500000,30000000,Công tác phí trực tiếp tại các bưu cục thử nghiệm (2-4 bưu cục) theo User_acquisition_plan
3.2,3. Vận hành pilot/khách hàng,"Chi phí đào tạo, hướng dẫn sử dụng cho DN và tài xế",Tháng,1,1500000,1500000,18000000,"Tài liệu hướng dẫn, tổ chức các buổi đào tạo thực địa cho tài xế và điều phối viên"
3.3,3. Vận hành pilot/khách hàng,"Chi phí thu thập, làm sạch, hiệu chỉnh dữ liệu thực tế",Tháng,1,2000000,2000000,24000000,Chuẩn hóa địa chỉ đơn hàng và hiệu chỉnh thông số định mức tiêu hao nhiên liệu thực tế
